|l1filename                                        |l1filepath                                                                 |l1propint |qobject                                           |object                                            |qra                 |qdec                |date_obs                     |exptime     |obsmode    |obstype    |program         |piname                                            |datalvl   |seeing    |airmass         |moonagl   |ra                    |dec                   |
|char                                              |char                                                                       |int       |char                                              |char                                              |char                |char                |char                         |double      |char       |char       |char            |char                                              |int       |double    |double          |double    |double                |double                |
|                                                  |                                                                           |months    |                                                  |                                                  |sexagesimal         |sexagesimal         |                             |s           |           |           |                |                                                  |          |arcsec    |secZ            |deg       |deg                   |deg                   |
|null                                              |null                                                                       |null      |null                                              |null                                              |null                |null                |null                         |null        |null       |null       |null            |null                                              |null      |null      |null            |null      |null                  |null                  |
 neidL1_20210116T111254.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T111254.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 11:12:54.000       59.835339    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.2472           82.6307    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T120915.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T120915.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 12:09:15.000       59.786972    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3802           93.5377    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T121049.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T121049.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 12:10:49.000       59.813549    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3731           100.8218   -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T121224.fits                        sci/2021/01/16/l1/pv1/neidL1_20210116T121224.fits                           0          -999999                                            Etalon Cal                                         -999999              -999999              2021-01-16 12:12:24.000       59.681056    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.3660           100.8212   -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T133425.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T133425.fits                           0          -999999                                            LFC Cal-HRSky                                      -999999              -999999              2021-01-16 13:34:25.000       59.772417    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.0730    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T133600.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T133600.fits                           0          -999999                                            LFC Cal-HRSky                                      -999999              -999999              2021-01-16 13:36:00.000       59.809221    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.1201    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T133734.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T133734.fits                           0          -999999                                            LFC Cal-HRSky                                      -999999              -999999              2021-01-16 13:37:34.000       59.829702    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.1682    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T133916.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T133916.fits                           0          -999999                                            Etalon Cal-HRSky                                   -999999              -999999              2021-01-16 13:39:16.000       59.829679    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.2184    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T134050.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T134050.fits                           0          -999999                                            Etalon Cal-HRSky                                   -999999              -999999              2021-01-16 13:40:50.000       59.814690    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.2660    -9.99000000000000e+01  -9.99000000000000e+01  
 neidL1_20210116T134224.fits                        sci/2021/01/16/l1/pv2/neidL1_20210116T134224.fits                           0          -999999                                            Etalon Cal-HRSky                                   -999999              -999999              2021-01-16 13:42:24.000       59.811438    hr          Cal         2020B-2013       Logsdon                                            1          0.0000     1.1587           70.3131    -9.99000000000000e+01  -9.99000000000000e+01  
